DATE,city,precipitation
12/19/20,STL,
12/19/21,STL,
12/19/22,STL,
12/2/18,STL,
12/2/19,STL,
12/2/20,STL,
12/2/21,STL,
12/2/22,STL,
12/20/18,STL,
12/20/19,STL,
12/20/20,STL,
12/20/21,STL,
12/20/22,STL,
12/21/18,STL,
12/21/19,STL,
12/21/20,STL,
12/21/21,STL,
12/21/22,STL,
12/22/18,STL,
12/22/19,STL,
12/22/20,STL,
12/22/21,STL,
12/22/22,STL,
12/23/18,STL,
12/23/19,STL,
12/23/20,STL,
12/23/21,STL,
12/23/22,STL,
12/24/18,STL,
12/24/19,STL,
12/24/20,STL,
12/24/21,STL,
12/24/22,STL,
12/25/18,STL,
12/25/19,STL,
12/25/20,STL,
12/25/21,STL,
12/25/22,STL,
12/26/18,STL,
12/26/19,STL,
12/26/20,STL,
12/26/21,STL,
12/26/22,STL,
12/27/18,STL,
12/27/19,STL,
12/27/20,STL,
12/27/21,STL,
12/27/22,STL,
12/28/18,STL,
12/28/19,STL,
12/28/20,STL,
12/28/21,STL,
12/28/22,STL,
12/29/18,STL,
12/29/19,STL,
12/29/20,STL,
12/29/21,STL,
12/29/22,STL,
12/3/18,STL,
12/3/19,STL,
12/3/20,STL,
12/3/21,STL,
12/3/22,STL,
12/30/18,STL,
12/30/19,STL,
12/30/20,STL,
12/30/21,STL,
12/30/22,STL,
12/31/18,STL,
12/31/19,STL,
12/31/20,STL,
12/31/21,STL,
12/31/22,STL,
12/4/18,STL,
12/4/19,STL,
12/4/20,STL,
12/4/21,STL,
12/4/22,STL,
12/5/18,STL,
12/5/19,STL,
12/5/20,STL,
12/5/21,STL,
12/5/22,STL,
12/6/18,STL,
12/6/19,STL,
12/6/20,STL,
12/6/21,STL,
12/6/22,STL,
12/7/18,STL,
12/7/19,STL,
12/7/20,STL,
12/7/21,STL,
12/7/22,STL,
12/8/18,STL,
12/8/19,STL,
12/8/20,STL,
12/8/21,STL,
12/8/22,STL,
12/9/18,STL,
12/9/19,STL,
12/9/20,STL,
12/9/21,STL,
12/9/22,STL,
2/1/19,STL,
2/1/20,STL,
2/1/21,STL,
2/1/22,STL,
2/10/19,STL,
2/10/20,STL,
2/10/21,STL,
2/10/22,STL,
2/11/19,STL,
2/11/20,STL,
2/11/21,STL,
2/11/22,STL,
2/12/19,STL,
2/12/20,STL,
2/12/21,STL,
2/12/22,STL,
2/13/19,STL,
2/13/20,STL,
2/13/21,STL,
2/13/22,STL,
2/14/19,STL,
2/14/20,STL,
2/14/21,STL,
2/14/22,STL,
2/15/19,STL,
2/15/20,STL,
2/15/21,STL,
2/15/22,STL,
2/16/19,STL,
2/16/21,STL,
2/16/22,STL,
2/17/19,STL,
2/17/21,STL,
2/17/22,STL,
2/18/19,STL,
2/18/21,STL,
2/18/22,STL,
2/19/19,STL,
2/19/21,STL,
2/19/22,STL,
2/2/19,STL,
2/2/20,STL,
2/2/21,STL,
2/2/22,STL,
2/20/19,STL,
2/20/22,STL,
2/21/19,STL,
2/21/22,STL,
2/22/19,STL,
2/22/22,STL,
2/23/21,STL,
2/23/22,STL,
2/24/21,STL,
2/24/22,STL,
2/25/21,STL,
2/25/22,STL,
2/26/20,STL,
2/26/21,STL,
2/26/22,STL,
2/27/20,STL,
2/27/21,STL,
2/27/22,STL,
2/28/19,STL,
2/28/20,STL,
2/28/21,STL,
2/28/22,STL,
2/29/20,STL,
2/3/19,STL,
2/3/20,STL,
2/3/21,STL,
2/3/22,STL,
2/4/19,STL,
2/4/20,STL,
2/4/21,STL,
2/4/22,STL,
2/5/19,STL,
2/5/20,STL,
2/5/21,STL,
2/5/22,STL,
2/6/19,STL,
2/6/20,STL,
2/6/21,STL,
2/6/22,STL,
2/7/19,STL,
2/7/20,STL,
2/7/21,STL,
2/7/22,STL,
2/8/19,STL,
2/8/20,STL,
2/8/21,STL,
2/8/22,STL,
2/9/19,STL,
2/9/20,STL,
2/9/21,STL,
2/9/22,STL,
2018-01-01,STL,0.0
2018-01-02,STL,0.0
2018-01-03,STL,0.0
2018-01-04,STL,0.0
2018-01-05,STL,0.0
2018-01-06,STL,0.0
2018-01-07,STL,0.35
2018-01-08,STL,0.0
2018-01-09,STL,0.0
2018-01-10,STL,0.0
2018-01-11,STL,0.04
2018-01-12,STL,0.0
2018-01-13,STL,0.0
2018-01-14,STL,0.01
2018-01-15,STL,0.06
2018-01-16,STL,0.0
2018-01-17,STL,0.0
2018-01-18,STL,0.0
2018-01-19,STL,0.0
2018-01-20,STL,0.0
2018-01-21,STL,0.0
2018-01-22,STL,0.76
2018-01-23,STL,0.01
2018-01-24,STL,0.0
2018-01-25,STL,0.0
2018-01-26,STL,0.0
2018-01-27,STL,0.0
2018-01-28,STL,0.0
2018-01-29,STL,0.0
2018-01-30,STL,0.0
2018-01-31,STL,0.0
2018-02-01,STL,0.0
2018-02-02,STL,0.0
2018-02-03,STL,0.0
2018-02-04,STL,0.01
2018-02-05,STL,0.0
2018-02-06,STL,0.0
2018-02-07,STL,0.0
2018-02-08,STL,0.0
2018-02-09,STL,0.0
2018-02-10,STL,0.03
2018-02-11,STL,0.0
2018-02-12,STL,0.0
2018-02-13,STL,0.0
2018-02-14,STL,0.13
2018-02-15,STL,0.26
2018-02-16,STL,0.0
2018-02-17,STL,0.1
2018-02-18,STL,0.0
2018-02-19,STL,0.89
2018-02-20,STL,1.04
2018-02-21,STL,0.29
2018-02-22,STL,0.26
2018-02-23,STL,0.31
2018-02-24,STL,1.73
2018-02-25,STL,0.0
2018-02-26,STL,0.0
2018-02-27,STL,0.0
2018-02-28,STL,0.2
2018-03-01,STL,0.27
2018-03-02,STL,0.0
2018-03-03,STL,0.0
2018-03-04,STL,0.0
2018-03-05,STL,0.62
2018-03-06,STL,0.04
2018-03-07,STL,0.0
2018-03-08,STL,0.0
2018-03-09,STL,0.0
2018-03-10,STL,0.0
2018-03-11,STL,0.27
2018-03-12,STL,0.0
2018-03-13,STL,0.0
2018-03-14,STL,0.0
2018-03-15,STL,0.0
2018-03-16,STL,0.34
2018-03-17,STL,0.0
2018-03-18,STL,0.0
2018-03-19,STL,1.43
2018-03-20,STL,0.0
2018-03-21,STL,0.0
2018-03-22,STL,0.0
2018-03-23,STL,0.26
2018-03-24,STL,0.81
2018-03-25,STL,0.0
2018-03-26,STL,1.01
2018-03-27,STL,1.12
2018-03-28,STL,0.02
2018-03-29,STL,0.79
2018-03-30,STL,0.0
2018-03-31,STL,0.14
2018-04-01,STL,0.28
2018-04-02,STL,0.45
2018-04-03,STL,0.19
2018-04-04,STL,0.0
2018-04-05,STL,0.0
2018-04-06,STL,0.0
2018-04-07,STL,0.0
2018-04-08,STL,0.01
2018-04-09,STL,0.0
2018-04-10,STL,0.0
2018-04-11,STL,0.0
2018-04-12,STL,0.0
2018-04-13,STL,0.97
2018-04-14,STL,0.28
2018-04-15,STL,0.01
2018-04-16,STL,0.0
2018-04-17,STL,0.0
2018-04-18,STL,0.0
2018-04-19,STL,0.0
2018-04-20,STL,0.0
2018-04-21,STL,0.0
2018-04-22,STL,0.02
2018-04-23,STL,0.07
2018-04-24,STL,0.0
2018-04-25,STL,0.0
2018-04-26,STL,0.0
2018-04-27,STL,0.0
2018-04-28,STL,0.0
2018-04-29,STL,0.0
2018-04-30,STL,0.0
2018-05-01,STL,0.0
2018-05-02,STL,0.0
2018-05-03,STL,1.02
2018-05-04,STL,0.0
2018-05-05,STL,0.0
2018-05-06,STL,0.01
2018-05-07,STL,0.0
2018-05-08,STL,0.0
2018-05-09,STL,0.17
2018-05-10,STL,0.0
2018-05-11,STL,0.0
2018-05-12,STL,0.0
2018-05-13,STL,0.0
2018-05-14,STL,0.15
2018-05-15,STL,0.03
2018-05-16,STL,0.0
2018-05-17,STL,0.0
2018-05-18,STL,1.61
2018-05-19,STL,0.07
2018-05-20,STL,0.37
2018-05-21,STL,0.12
2018-05-22,STL,0.0
2018-05-23,STL,0.0
2018-05-24,STL,0.0
2018-05-25,STL,0.13
2018-05-26,STL,0.0
2018-05-27,STL,1.33
2018-05-28,STL,0.0
2018-05-29,STL,0.0
2018-05-30,STL,0.04
2018-05-31,STL,0.0
2018-06-01,STL,0.0
2018-06-02,STL,0.31
2018-06-03,STL,0.0
2018-06-04,STL,0.0
2018-06-05,STL,0.0
2018-06-06,STL,0.0
2018-06-07,STL,0.0
2018-06-08,STL,0.0
2018-06-09,STL,0.43
2018-06-10,STL,0.0
2018-06-11,STL,0.0
2018-06-12,STL,0.0
2018-06-13,STL,0.0
2018-06-14,STL,0.0
2018-06-15,STL,0.0
2018-06-16,STL,0.0
2018-06-17,STL,0.0
2018-06-18,STL,0.0
2018-06-19,STL,0.03
2018-06-20,STL,0.92
2018-06-21,STL,0.01
2018-06-22,STL,0.37
2018-06-23,STL,0.0
2018-06-24,STL,0.0
2018-06-25,STL,0.0
2018-06-26,STL,0.82
2018-06-27,STL,0.0
2018-06-28,STL,0.2
2018-06-29,STL,0.0
2018-06-30,STL,0.0
2018-07-01,STL,0.59
2018-07-02,STL,0.0
2018-07-03,STL,0.05
2018-07-04,STL,0.0
2018-07-05,STL,0.0
2018-07-06,STL,0.0
2018-07-07,STL,0.0
2018-07-08,STL,0.0
2018-07-09,STL,0.25
2018-07-10,STL,0.0
2018-07-11,STL,0.0
2018-07-12,STL,0.0
2018-07-13,STL,0.0
2018-07-14,STL,0.28
2018-07-15,STL,0.0
2018-07-16,STL,0.0
2018-07-17,STL,0.0
2018-07-18,STL,0.0
2018-07-19,STL,0.02
2018-07-20,STL,0.0
2018-07-21,STL,0.0
2018-07-22,STL,0.0
2018-07-23,STL,0.0
2018-07-24,STL,0.0
2018-07-25,STL,0.0
2018-07-26,STL,0.0
2018-07-27,STL,0.0
2018-07-28,STL,0.0
2018-07-29,STL,0.2
2018-07-30,STL,0.01
2018-07-31,STL,0.6
2018-08-01,STL,0.0
2018-08-02,STL,0.19
2018-08-03,STL,0.0
2018-08-04,STL,0.0
2018-08-05,STL,0.0
2018-08-06,STL,0.0
2018-08-07,STL,0.46
2018-08-08,STL,0.0
2018-08-09,STL,0.0
2018-08-10,STL,0.98
2018-08-11,STL,0.0
2018-08-12,STL,0.0
2018-08-13,STL,0.0
2018-08-14,STL,0.05
2018-08-15,STL,0.45
2018-08-16,STL,0.0
2018-08-17,STL,0.0
2018-08-18,STL,0.0
2018-08-19,STL,0.01
2018-08-20,STL,0.75
2018-08-21,STL,0.02
2018-08-22,STL,0.0
2018-08-23,STL,0.0
2018-08-24,STL,1.12
2018-08-25,STL,0.0
2018-08-26,STL,0.0
2018-08-27,STL,0.0
2018-08-28,STL,0.0
2018-08-29,STL,0.61
2018-08-30,STL,0.0
2018-08-31,STL,0.02
2018-09-01,STL,0.0
2018-09-02,STL,0.0
2018-09-03,STL,0.0
2018-09-04,STL,0.0
2018-09-05,STL,0.0
2018-09-06,STL,0.0
2018-09-07,STL,0.66
2018-09-08,STL,0.92
2018-09-09,STL,0.02
2018-09-10,STL,0.0
2018-09-11,STL,0.0
2018-09-12,STL,0.0
2018-09-13,STL,0.0
2018-09-14,STL,0.0
2018-09-15,STL,0.0
2018-09-16,STL,0.0
2018-09-17,STL,0.0
2018-09-18,STL,0.0
2018-09-19,STL,0.0
2018-09-20,STL,0.0
2018-09-21,STL,0.05
2018-09-22,STL,0.0
2018-09-23,STL,0.0
2018-09-24,STL,0.0
2018-09-25,STL,0.0
2018-09-26,STL,0.35
2018-09-27,STL,0.0
2018-09-28,STL,0.0
2018-09-29,STL,0.0
2018-09-30,STL,0.0
2018-10-01,STL,0.0
2018-10-02,STL,0.0
2018-10-03,STL,0.0
2018-10-04,STL,0.07
2018-10-05,STL,0.0
2018-10-06,STL,0.68
2018-10-07,STL,0.5
2018-10-08,STL,0.0
2018-10-09,STL,0.0
2018-10-10,STL,0.1
2018-10-11,STL,0.0
2018-10-12,STL,0.22
2018-10-13,STL,0.0
2018-10-14,STL,0.1
2018-10-15,STL,0.02
2018-10-16,STL,0.0
2018-10-17,STL,0.0
2018-10-18,STL,0.0
2018-10-19,STL,0.0
2018-10-20,STL,0.0
2018-10-21,STL,0.0
2018-10-22,STL,0.0
2018-10-23,STL,0.0
2018-10-24,STL,0.0
2018-10-25,STL,0.22
2018-10-26,STL,0.24
2018-10-27,STL,0.0
2018-10-28,STL,0.0
2018-10-29,STL,0.0
2018-10-30,STL,0.0
2018-10-31,STL,1.05
2018-11-01,STL,0.72
2018-11-02,STL,0.11
2018-11-03,STL,0.0
2018-11-04,STL,0.35
2018-11-05,STL,0.39
2018-11-06,STL,0.0
2018-11-07,STL,0.0
2018-11-08,STL,0.05
2018-11-09,STL,0.04
2018-11-10,STL,0.0
2018-11-11,STL,0.0
2018-11-12,STL,0.09
2018-11-13,STL,0.0
2018-11-14,STL,0.09
2018-11-15,STL,0.21
2018-11-16,STL,0.0
2018-11-17,STL,0.0
2018-11-18,STL,0.08
2018-11-19,STL,0.0
2018-11-20,STL,0.0
2018-11-21,STL,0.0
2018-11-22,STL,0.0
2018-11-23,STL,0.38
2018-11-24,STL,0.0
2018-11-25,STL,0.23
2018-11-26,STL,0.0
2018-11-27,STL,0.0
2018-11-28,STL,0.0
2018-11-29,STL,0.0
2018-11-30,STL,0.0
2018-12-01,STL,0.78
2018-12-02,STL,0.0
2018-12-03,STL,0.0
2018-12-04,STL,0.13
2018-12-05,STL,0.0
2018-12-06,STL,0.11
2018-12-07,STL,0.0
2018-12-08,STL,0.0
2018-12-09,STL,0.0
2018-12-10,STL,0.0
2018-12-11,STL,0.0
2018-12-12,STL,0.0
2018-12-13,STL,0.5
2018-12-14,STL,0.42
2018-12-15,STL,0.17
2018-12-16,STL,0.0
2018-12-17,STL,0.0
2018-12-18,STL,0.0
2018-12-19,STL,0.0
2018-12-20,STL,0.09
2018-12-21,STL,0.0
2018-12-22,STL,0.0
2018-12-23,STL,0.0
2018-12-24,STL,0.0
2018-12-25,STL,0.0
2018-12-26,STL,0.02
2018-12-27,STL,0.61
2018-12-28,STL,0.0
2018-12-29,STL,0.0
2018-12-30,STL,0.15
2018-12-31,STL,1.0
2019-01-01,STL,0.0
2019-01-02,STL,0.0
2019-01-03,STL,0.0
2019-01-04,STL,0.0
2019-01-05,STL,0.0
2019-01-06,STL,0.0
2019-01-07,STL,0.1
2019-01-08,STL,0.0
2019-01-09,STL,0.0
2019-01-10,STL,0.0
2019-01-11,STL,0.65
2019-01-12,STL,0.45
2019-01-13,STL,0.03
2019-01-14,STL,0.0
2019-01-15,STL,0.0
2019-01-16,STL,0.0
2019-01-17,STL,0.03
2019-01-18,STL,0.19
2019-01-19,STL,0.24
2019-01-20,STL,0.05
2019-01-21,STL,0.0
2019-01-22,STL,0.76
2019-01-23,STL,0.33
2019-01-24,STL,0.0
2019-01-25,STL,0.0
2019-01-26,STL,0.0
2019-01-27,STL,0.0
2019-01-28,STL,0.07
2019-01-29,STL,0.0
2019-01-30,STL,0.03
2019-01-31,STL,0.0
2019-02-01,STL,0.0
2019-02-02,STL,0.0
2019-02-03,STL,0.0
2019-02-04,STL,0.0
2019-02-05,STL,0.05
2019-02-06,STL,1.18
2019-02-07,STL,0.95
2019-02-08,STL,0.0
2019-02-09,STL,0.0
2019-02-10,STL,0.16
2019-02-11,STL,0.32
2019-02-12,STL,0.01
2019-02-13,STL,0.0
2019-02-14,STL,0.0
2019-02-15,STL,0.13
2019-02-16,STL,0.0
2019-02-17,STL,0.01
2019-02-18,STL,0.0
2019-02-19,STL,0.35
2019-02-20,STL,0.16
2019-02-21,STL,0.0
2019-02-22,STL,0.0
2019-02-23,STL,0.2
2019-02-24,STL,0.0
2019-02-25,STL,0.0
2019-02-26,STL,0.0
2019-02-27,STL,0.0
2019-02-28,STL,0.04
2019-03-01,STL,0.0
2019-03-02,STL,0.0
2019-03-03,STL,0.22
2019-03-04,STL,0.0
2019-03-05,STL,0.0
2019-03-06,STL,0.0
2019-03-07,STL,0.0
2019-03-08,STL,0.0
2019-03-09,STL,1.28
2019-03-10,STL,0.0
2019-03-11,STL,0.0
2019-03-12,STL,0.14
2019-03-13,STL,0.93
2019-03-14,STL,0.0
2019-03-15,STL,0.0
2019-03-16,STL,0.0
2019-03-17,STL,0.0
2019-03-18,STL,0.0
2019-03-19,STL,0.0
2019-03-20,STL,0.02
2019-03-21,STL,0.0
2019-03-22,STL,0.0
2019-03-23,STL,0.06
2019-03-24,STL,0.55
2019-03-25,STL,0.01
2019-03-26,STL,0.0
